NWS	USGS	
OTFC1	11452900	
OWSC1	11452800	
PCGC1	11453500	
PLHC1	11446030	
PMWC1	11453250	
PTRC1	11355010	
PTTC1	11274630	
PUCC1	11454000	
RCLC1	11525530	
RDGC1	11372000	
RIPC1	11303000	
RMSC1	11451800	
SCBC1	11402000	
SQUC1	11401920	
TEIC1	11276600	
TUCC1	11289500	
TUKC1	11299995	
TWGC1	11285500	
VNSC1	11303500	
VONC1	11425500	
WLKC1	11390500	
YLOC1	11452500	
YOLC1	11453000	
AMCC1	10251330	
IVNC1	09423350	
MBRC1	10262500	
MJRC1	10263000	
TCPC1	10251300	
WLWC1	10251335	
NFFQ2	12355000	
ACHC2	06700000	
BAKC2	09010500	
BARC2	06710385	
BDCC2	06710150	
BDFC2	06720990	
BDWC2	06720820	
BGMC2	09057500	
BHKC2	06718550	
BLOC2	06730500	
BLRC2	09050700	
BOBC2	09034900	
BOLC2	06730200	
BSWC2	09046600	
BTLC2	06741510	
BUEC2	09046490	
CABC2	09032100	
CAWC2	09034250	
CBGC2	09019500	
CDVC2	06713500	
CHDC2	06713000	
CPKC2	393109104464500	
CSHC2	09015000	
CWCC2	06715000	
DGDC2	06711770	
DTXC2	393902103554001	
DUTC2	06709910	
ELTC2	09056500	
ELUC2	09025300	
ENGC2	06711565	
ENWC2	06710247	
FBRC2	06720460	
FELC2	06730160	
FMLC2	06727410	
FOMC2	06759500	
FRKC2	06712000	
FRWC2	09024000	
FWWC2	09022000	
GDCC2	09014050	
GLDC2	06719505	
GLVC2	404220105244001	
HBRC2	393947104555101	
HGUC2	394028104565501	
HTDC2	09041900	
IDOC2	06716500	
JWAC2	06746095	
JWBC2	06746110	
KEYC2	09047700	
KRMC2	09058000	
LDAC2	06711515	
LDEC2	06711555	
LDWC2	06719840	
LEAC2	09035700	
LENC2	06719560	
LGLC2	06711780	
LHCC2	06724970	
LIVC2	06751490	
LOVC2	06709000	
LUPC2	06721000	
LVMC2	06714800	
MBWC2	09041400	
MCAC2	06614800	
MHPC2	403212105144201	
MLAC2	09041090	
MRPC2	402114105350101	
NCHC2	06751150	
NGTC2	06620000	
ORFC2	06727500	
OWLC2	06753600	
PABC2	06752280	
PCTC2	06709530	
PLMC2	06708800	
POUC2	06752260	
RDAC2	06710605	
RHCC2	09032000	
RISC2	403846105164801	
SACC2	394839104570300	
SCWC2	06659580	
SKCC2	403746105231301	
SKEC2	09047500	
SLAC2	09051050	
SLEC2	09026500	
SPIC2	06714215	
SVLC2	06730525	
SVPC2	403710105213401	
SWFC2	09035900	
TBEC2	09027100	
TBRC2	09033300	
TCFC2	09050100	
TCOC2	06696980	
TGSC2	394329104490101	
TNSC2	09033100	
TRTC2	06701620	
TRUC2	06701900	
VSQC2	09025000	
WCCC2	06716100	
WECC2	06701700	
WEIC2	06711618	
WFLC2	09036000	
WFRC2	09038500	
WFSC2	09035500	
WKFC2	09037500	
WORC2	09041395	
WPPC2	06708600	
WPSC2	06708690	
WSPC2	09096570	
ACSC2	09132095	
ALEC2	09112500	
ALFC2	385117107554501	
ALTC2	09110000	
ANBC2	09359020	
ANMC2	09358000	
APNC2	09073400	
ATTC2	09359500	
BEVC2	09067000	
BGKC2	09066000	
BOMC2	09066200	
CAMC2	09095500	
CAVC2	09359080	
CBDC2	09359082	
CCUC2	09163500	
CDRC2	09363500	
CEMC2	09358550	
CGGC2	09247600	
CGYC2	09106150	
CLOC2	09147500	
CMNC2	09127000	
CMRC2	09126000	
CRFC2	09129550	
CSSC2	09065100	
DBDC2	09171100	
DCKC2	09147000	
DELC2	09144250	
DGOC2	09362520	
DLAC2	09149500	
DMSC2	380251107513000	
DOBC2	09169500	
DOLC2	09166500	
DRGC2	09361500	
DRRC2	09165000	
EALC2	09067020	
EAMC2	09064600	
EASC2	09112200	
ECXC2	09061600	
EGLC2	09070500	
ELCC2	09246500	
ELHC2	09246200	
EMCC2	394220106431500	
EMMC2	09081000	
ENMC2	09242500	
ERCC2	393803107435601	
FGDC2	384936107571901	
FISC2	09238900	
FTGC2	09143600	
GBMC2	375852107455200	
GCOC2	09085100	
GEPC2	09128000	
GJNC2	09152500	
GOMC2	09065500	
GORC2	09066510	
GPSC2	09070000	
GRVC2	09066325	
GUSC2	09114500	
GWSC2	09085000	
HMSC2	09064000	
HUNC2	09074000	
HUTC2	09074500	
IROC2	375546107412000	
LCCC2	09166950	
LCGC2	09073005	
LEMC2	09362800	
LFBC2	09123450	
LFEC2	09067200	
LFGC2	09124500	
LILC2	09260000	
LOSC2	09354500	
LPIC2	09353800	
LSRC2	09253000	
LZRC2	09136100	
MBLC2	09251000	
MCEC2	09372000	
MCOC2	09371492	
MCVC2	09066300	
MNLC2	09359010	
MRTC2	09371000	
MTCC2	09371520	
OHOC2	09113980	
PAOC2	09134100	
PCCC2	09105000	
PCWC2	09306222	
PIDC2	09349800	
PIEC2	09306200	
PMSC2	380436107411500	
PNLC2	09058500	
PRSC2	09131495	
PSBC2	09059500	
PSPC2	09342500	
RBSC2	09147022	
RCYC2	09081600	
RERC2	09063000	
RLMC2	09072550	
RORC2	09073300	
RRGC2	09091900	
RUDC2	09080400	
SCBC2	385106106571000	
SCCC2	09143500	
SFLC2	09129600	
SFWC2	09304200	
SJAC2	09125800	
SJCC2	09346400	
SJFC2	09371010	
SLFC2	09255000	
SLIC2	09168730	
SMPC2	09172500	
SMUC2	09177000	
SNCC2	09143000	
SNMC2	09174600	
SOMC2	09132500	
STMC2	09239500	
TMCC2	09115500	
TOMC2	09119000	
